date,SMA
2018-03-19 09:49,93.5152
2018-03-19 09:50,93.4926
2018-03-19 09:51,93.4811
2018-03-19 09:52,93.4693
2018-03-19 09:53,93.4573
2018-03-19 09:54,93.4506
2018-03-19 09:55,93.4421
2018-03-19 09:56,93.4266
2018-03-19 09:57,93.4106
2018-03-19 09:58,93.3999
2018-03-19 09:59,93.4039
2018-03-19 10:00,93.4069
2018-03-19 10:01,93.4124
2018-03-19 10:02,93.4244
2018-03-19 10:03,93.4316
2018-03-19 10:04,93.4406
2018-03-19 10:05,93.4504
2018-03-19 10:06,93.4521
2018-03-19 10:07,93.457
2018-03-19 10:08,93.4647
2018-03-19 10:09,93.4742
2018-03-19 10:10,93.482
2018-03-19 10:11,93.483
2018-03-19 10:12,93.4713
2018-03-19 10:13,93.4543
2018-03-19 10:14,93.4401
2018-03-19 10:15,93.4316
2018-03-19 10:16,93.4256
2018-03-19 10:17,93.4198
2018-03-19 10:18,93.4146
2018-03-19 10:19,93.4111
2018-03-19 10:20,93.4056
2018-03-19 10:21,93.4
2018-03-19 10:22,93.3908
2018-03-19 10:23,93.385
2018-03-19 10:24,93.375
2018-03-19 10:25,93.3675
2018-03-19 10:26,93.3643
2018-03-19 10:27,93.3608
2018-03-19 10:28,93.362
2018-03-19 10:29,93.3625
2018-03-19 10:30,93.3652
2018-03-19 10:31,93.3674
2018-03-19 10:32,93.3802
2018-03-19 10:33,93.3952
2018-03-19 10:34,93.4072
2018-03-19 10:35,93.4164
2018-03-19 10:36,93.4194
2018-03-19 10:37,93.4212
2018-03-19 10:38,93.4209
2018-03-19 10:39,93.4159
2018-03-19 10:40,93.4129
2018-03-19 10:41,93.4092
2018-03-19 10:42,93.3999
2018-03-19 10:43,93.3932
2018-03-19 10:44,93.3859
2018-03-19 10:45,93.3714
2018-03-19 10:46,93.3599
2018-03-19 10:47,93.3502
2018-03-19 10:48,93.3357
2018-03-19 10:49,93.3197
2018-03-19 10:50,93.3042
2018-03-19 10:51,93.2849
2018-03-19 10:52,93.2637
2018-03-19 10:53,93.2412
2018-03-19 10:54,93.2122
2018-03-19 10:55,93.1804
2018-03-19 10:56,93.1539
2018-03-19 10:57,93.1274
2018-03-19 10:58,93.0987
