date,Real Middle Band,Real Lower Band,Real Upper Band
2018-03-21 11:27,92.7639,92.725,92.8028
2018-03-21 11:28,92.7662,92.7306,92.8018
2018-03-21 11:29,92.7632,92.7313,92.7951
2018-03-21 11:30,92.7647,92.7361,92.7933
2018-03-21 11:31,92.7727,92.7428,92.8027
2018-03-21 11:32,92.7793,92.7346,92.8241
2018-03-21 11:33,92.7847,92.7294,92.84
2018-03-21 11:34,92.7917,92.7307,92.8527
2018-03-21 11:35,92.7992,92.7282,92.8702
2018-03-21 11:36,92.7997,92.7291,92.8702
2018-03-21 11:37,92.8067,92.7354,92.8779
2018-03-21 11:38,92.8144,92.7471,92.8817
2018-03-21 11:39,92.8244,92.7629,92.8858
2018-03-21 11:40,92.8404,92.776,92.9047
2018-03-21 11:41,92.8469,92.783,92.9107
2018-03-21 11:42,92.8499,92.7866,92.9131
2018-03-21 11:43,92.8535,92.7903,92.9168
2018-03-21 11:44,92.859,92.7936,92.9244
2018-03-21 11:45,92.8595,92.7942,92.9248
2018-03-21 11:46,92.8675,92.8251,92.91
2018-03-21 11:47,92.8655,92.8167,92.9144
2018-03-21 11:48,92.861,92.7975,92.9245
2018-03-21 11:49,92.858,92.7918,92.9242
2018-03-21 11:50,92.851,92.7966,92.9054
2018-03-21 11:51,92.8505,92.7969,92.9041
2018-03-21 11:52,92.861,92.7736,92.9484
2018-03-21 11:53,92.877,92.7428,93.0112
2018-03-21 11:54,92.896,92.7144,93.0776
2018-03-21 11:55,92.9215,92.7,93.143
2018-03-21 11:56,92.952,92.6898,93.2142
2018-03-21 11:57,92.981,92.7195,93.2425
2018-03-21 11:58,93.008,92.7746,93.2414
2018-03-21 11:59,93.029,92.8279,93.2301
2018-03-21 12:00,93.0485,92.8891,93.2079
2018-03-21 12:01,93.0615,92.9477,93.1753
2018-03-21 12:02,93.0665,92.9666,93.1664
2018-03-21 12:03,93.0655,92.964,93.167
2018-03-21 12:04,93.058,92.9509,93.1651
2018-03-21 12:05,93.0465,92.9417,93.1513
2018-03-21 12:06,93.026,92.9495,93.1025
2018-03-21 12:07,93.013,92.9564,93.0696
2018-03-21 12:08,93.007,92.9622,93.0518
2018-03-21 12:09,93.009,92.9573,93.0607
2018-03-21 12:10,93.009,92.9573,93.0607
2018-03-21 12:11,93.014,92.9573,93.0707
2018-03-21 12:12,93.0095,92.947,93.072
2018-03-21 12:13,93.0015,92.9271,93.0759
2018-03-21 12:14,92.997,92.9187,93.0754
2018-03-21 12:15,92.99,92.9021,93.078
2018-03-21 12:16,92.9895,92.9009,93.0781
2018-03-21 12:17,92.9885,92.8993,93.0777
2018-03-21 12:18,92.984,92.8941,93.074
2018-03-21 12:19,92.9755,92.9012,93.0498
2018-03-21 12:20,92.9725,92.9069,93.0381
2018-03-21 12:21,92.9724,92.9072,93.0377
2018-03-21 12:22,92.9764,92.9075,93.0454
2018-03-21 12:23,92.9834,92.9165,93.0504
2018-03-21 12:24,92.9914,92.9187,93.0642
2018-03-21 12:25,93.0044,92.9338,93.075
2018-03-21 12:26,93.0144,92.9435,93.0854
2018-03-21 12:27,93.0239,92.9539,93.094
2018-03-21 12:28,93.0379,92.9687,93.1072
2018-03-21 12:29,93.0491,92.9886,93.1096
2018-03-21 12:30,93.0571,92.9982,93.116
2018-03-21 12:31,93.0619,92.9987,93.1251
2018-03-21 12:32,93.0694,93.0155,93.1233
2018-03-21 12:33,93.0789,93.0384,93.1194
2018-03-21 12:34,93.0869,93.0488,93.125
2018-03-21 12:35,93.0939,93.0525,93.1353
2018-03-21 12:36,93.0999,93.0627,93.1371
2018-03-21 12:37,93.1034,93.0742,93.1325
2018-03-21 12:38,93.1034,93.0742,93.1325
2018-03-21 12:39,93.1044,93.0771,93.1318
2018-03-21 12:40,93.1054,93.0796,93.1313
2018-03-21 12:41,93.1056,93.08,93.1313
2018-03-21 12:42,93.1061,93.082,93.1303
2018-03-21 12:43,93.1056,93.0812,93.1301
2018-03-21 12:44,93.1042,93.0817,93.1267
2018-03-21 12:45,93.1012,93.0867,93.1158
2018-03-21 12:46,93.0972,93.0835,93.1109
2018-03-21 12:47,93.0907,93.0512,93.1303
2018-03-21 12:48,93.0847,93.0356,93.1339
2018-03-21 12:49,93.08,93.0276,93.1324
2018-03-21 12:50,93.0745,93.0201,93.1289
2018-03-21 12:51,93.0761,93.0181,93.1341
2018-03-21 12:52,93.0806,93.0129,93.1484
2018-03-21 12:53,93.0866,93.004,93.1692
2018-03-21 12:54,93.0915,92.9996,93.1834
2018-03-21 12:55,93.099,92.9942,93.2038
2018-03-21 12:56,93.1099,92.9933,93.2265
2018-03-21 12:57,93.1234,93.0135,93.2333
2018-03-21 12:58,93.1364,93.039,93.2338
2018-03-21 12:59,93.1494,93.0683,93.2305
2018-03-21 13:00,93.1644,93.118,93.2108
2018-03-21 13:01,93.1744,93.132,93.2168
2018-03-21 13:02,93.1804,93.1457,93.2151
2018-03-21 13:03,93.1849,93.1503,93.2195
2018-03-21 13:04,93.191,93.1582,93.2239
2018-03-21 13:05,93.196,93.1594,93.2326
2018-03-21 13:06,93.1966,93.1603,93.2329
2018-03-21 13:07,93.1976,93.1638,93.2314
2018-03-21 13:08,93.1996,93.1706,93.2286
2018-03-21 13:09,93.1991,93.1686,93.2296
2018-03-21 13:10,93.1956,93.1571,93.2342
2018-03-21 13:11,93.1926,93.1559,93.2293
2018-03-21 13:12,93.1906,93.1525,93.2287
2018-03-21 13:13,93.1901,93.1527,93.2276
2018-03-21 13:14,93.1875,93.1543,93.2207
2018-03-21 13:15,93.185,93.1609,93.2091
2018-03-21 13:16,93.189,93.1506,93.2274
2018-03-21 13:17,93.194,93.1491,93.2389
2018-03-21 13:18,93.1951,93.1501,93.2401
2018-03-21 13:19,93.1991,93.1548,93.2433
2018-03-21 13:20,93.2066,93.1661,93.247
2018-03-21 13:21,93.2171,93.1555,93.2787
2018-03-21 13:22,93.2246,93.1672,93.282
2018-03-21 13:23,93.2321,93.1701,93.2941
2018-03-21 13:24,93.2398,93.1815,93.2981
2018-03-21 13:25,93.2478,93.1917,93.304
2018-03-21 13:26,93.2568,93.1851,93.3285
2018-03-21 13:27,93.2693,93.1794,93.3592
2018-03-21 13:28,93.2852,93.1932,93.3773
2018-03-21 13:29,93.2997,93.2109,93.3886
2018-03-21 13:30,93.3123,93.2283,93.3962
2018-03-21 13:31,93.3183,93.2329,93.4036
2018-03-21 13:32,93.3272,93.2545,93.3999
2018-03-21 13:33,93.3337,93.2698,93.3977
2018-03-21 13:34,93.3415,93.2952,93.3878
2018-03-21 13:35,93.3485,93.3269,93.37
2018-03-21 13:36,93.352,93.3363,93.3677
2018-03-21 13:37,93.3545,93.3315,93.3775
2018-03-21 13:38,93.3585,93.3227,93.3943
2018-03-21 13:39,93.3585,93.3227,93.3943
2018-03-21 13:40,93.3565,93.319,93.3939
2018-03-21 13:41,93.3565,93.319,93.3939
2018-03-21 13:42,93.3555,93.3159,93.3951
2018-03-21 13:43,93.3569,93.3187,93.3952
2018-03-21 13:44,93.3594,93.3213,93.3975
2018-03-21 13:45,93.3599,93.3222,93.3977
2018-03-21 13:46,93.3669,93.3105,93.4234
2018-03-21 13:47,93.3719,93.304,93.4399
2018-03-21 13:48,93.3759,93.2979,93.454
2018-03-21 13:49,93.3849,93.2963,93.4736
2018-03-21 13:50,93.3959,93.3051,93.4868
2018-03-21 13:51,93.4044,93.3165,93.4924
2018-03-21 13:52,93.4134,93.3407,93.4862
2018-03-21 13:53,93.419,93.3576,93.4804
2018-03-21 13:54,93.427,93.3727,93.4813
2018-03-21 13:55,93.4355,93.41,93.461
2018-03-21 13:56,93.437,93.4112,93.4628
2018-03-21 13:57,93.435,93.4047,93.4653
2018-03-21 13:58,93.4314,93.3963,93.4666
2018-03-21 13:59,93.4214,93.3635,93.4793
2018-03-21 14:00,93.4114,93.3431,93.4797
2018-03-21 14:01,93.4379,93.251,93.6249
2018-03-21 14:02,93.4759,93.1905,93.7614
2018-03-21 14:03,93.4929,93.205,93.7809
2018-03-21 14:04,93.4829,93.183,93.7828
2018-03-21 14:05,93.4929,93.1927,93.7931
2018-03-21 14:06,93.5064,93.2039,93.8089
2018-03-21 14:07,93.5224,93.2252,93.8197
2018-03-21 14:08,93.557,93.2428,93.8712
2018-03-21 14:09,93.595,93.2987,93.8913
